Year,School,gradTotal,Type,Ownership
111,國立暨南國際大學,198,General,Public
111,國立東華大學,361,General,Public
111,國立清華大學,1892,General,Public
111,國立澎湖科技大學,28,Tech,Public
111,國立聯合大學,146,General,Public
111,國立臺中教育大學,204,General,Public
111,國立臺中科技大學,160,Tech,Public
111,國立臺北商業大學,98,Tech,Public
111,國立臺北大學,438,General,Public
111,國立臺北教育大學,288,General,Public
111,國立臺北科技大學,1313,Tech,Public
111,國立臺北藝術大學,195,General,Public
111,國立臺北護理健康大學,161,Tech,Public
111,國立臺南大學,210,General,Public
111,國立臺南藝術大學,109,General,Public
111,國立臺東大學,104,General,Public
111,國立臺灣大學,3520,General,Public
111,國立臺灣師範大學,1153,General,Public
111,國立臺灣海洋大學,512,General,Public
111,國立臺灣科技大學,1540,Tech,Public
111,國立臺灣藝術大學,172,General,Public
111,國立臺灣體育運動大學,54,General,Public
111,國立虎尾科技大學,412,Tech,Public
111,國立金門大學,71,General,Public
111,國立陽明交通大學,2171,General,Public
111,國立雲林科技大學,674,Tech,Public
111,國立體育大學,76,General,Public
111,國立高雄大學,202,General,Public
111,國立高雄師範大學,295,General,Public
111,國立高雄科技大學,1034,Tech,Public
111,國立高雄餐旅大學,61,Tech,Public
111,大仁科技大學,17,Tech,Private
111,大同大學,72,General,Private
111,大漢技術學院,20,Tech,Private
111,大葉大學,143,General,Private
111,宏國德霖科技大學,12,Tech,Private
111,實踐大學,114,General,Private
111,崇右影藝科技大學,9,Tech,Private
111,崑山科技大學,111,Tech,Private
111,嶺東科技大學,57,Tech,Private
111,康寧大學,2,General,Private
111,建國科技大學,54,Tech,Private
111,弘光科技大學,57,Tech,Private
111,德明財經科技大學,10,Tech,Private
111,慈濟大學,106,General,Private
111,慈濟科技大學,18,Tech,Private
111,文藻外語大學,37,Tech,Private
111,明志科技大學,179,Tech,Private
111,明新科技大學,97,Tech,Private
111,明道大學,44,General,Private
111,景文科技大學,2,Tech,Private
111,朝陽科技大學,205,Tech,Private
111,東南科技大學,45,Tech,Private
111,東吳大學,336,General,Private
111,東方設計大學,27,Tech,Private
111,東海大學,370,General,Private
111,樹德科技大學,52,Tech,Private
111,正修科技大學,129,Tech,Private
